"n","mu_true","method","media_mu","viés_mu"
30,0.5,"MM",0.485534159787156,0.00026994995254459
30,0.5,"MM",0.525524617209255,-6.60456725061209e-05
30,0.5,"MM",0.461774268801963,-0.000394356039062016
30,0.5,"MM",0.503967438295698,0.00105677072241339
30,0.5,"MM",0.461501215733114,-0.000351606041876951
30,0.5,"MM",0.487402638914769,0.000239807950998039
30,0.5,"MM",0.566167019024879,-0.000450894258424483
30,0.5,"MM",0.48649087409853,8.2539529791148e-05
30,0.5,"MM",0.523975235396729,0.000732837056785063
30,0.5,"MM",0.475596288508974,-0.000321249882170471
30,0.5,"MM",0.527539129350172,0.00011000362602942
30,0.5,"MM",0.530936462234046,0.000545200236317767
30,0.5,"MM",0.497114587673988,0.000125989889676104
30,0.5,"MM",0.505091988535457,0.000268096651723781
30,0.5,"MM",0.480942737588373,-8.14520386486772e-05
30,0.5,"MM",0.453713575692784,-0.000929312862512521
30,0.5,"MM",0.460038132079693,0.000430888423464504
30,0.5,"MM",0.456939195415423,-1.88053251004017e-05
30,0.5,"MM",0.491549141827149,-0.00094868181017943
30,0.5,"MM",0.537515635116532,5.50688513927255e-05
30,0.5,"MM",0.483499676814206,-0.00128897900649344
30,0.5,"MM",0.491835193405542,-8.33819105866551e-06
30,0.5,"MM",0.530466152099233,-2.36782465632412e-05
30,0.5,"MM",0.488607709164954,-0.000447007319306469
30,0.5,"MM",0.473114551593298,-0.000323770439344007
30,0.5,"MM",0.493782620228627,-1.36235992269085e-05
30,0.5,"MM",0.562740957016433,-0.000592610977266261
30,0.5,"MM",0.525666713608368,-0.000131876054920488
30,0.5,"MM",0.526628073393759,0.000299204374464845
30,0.5,"MM",0.541010952130028,-0.000717266699730712
30,0.5,"MM",0.533815847460232,-0.00014069254867155
30,0.5,"MM",0.534339816620467,-2.20010504117241e-05
30,0.5,"MM",0.555299960934306,0.000546331087095453
30,0.5,"MM",0.443832780769317,-0.000241710668172301
30,0.5,"MM",0.486029238706818,-0.00093918298829454
30,0.5,"MM",0.528164103508816,-0.000563697655745599
30,0.5,"MM",0.47357668697194,9.91619710424829e-05
30,0.5,"MM",0.542128431602405,-0.000309465352166693
30,0.5,"MM",0.479452651977929,-6.54329204895499e-05
30,0.5,"MM",0.482684133883037,0.00102858776477255
30,0.5,"MM",0.553082095418108,0.00037362041318667
30,0.5,"MM",0.539789286134143,-0.000511669944452953
30,0.5,"MM",0.461495757436309,9.57522042848713e-05
30,0.5,"MM",0.463442375811171,0.000106215033328527
30,0.5,"MM",0.505580724309716,0.000431763921744932
30,0.5,"MM",0.50562286665897,-0.00101202772477316
30,0.5,"MM",0.445064527363761,-9.2723438403941e-05
30,0.5,"MM",0.524430180768564,0.000456725785191181
30,0.5,"MM",0.50402212507271,-0.000359243197789905
30,0.5,"MM",0.487587260364813,-0.000638854167782699
30,0.5,"MM",0.530381778220893,-0.00034777129931518
30,0.5,"MM",0.484607156602133,-7.40318236661652e-05
30,0.5,"MM",0.570245243845115,-2.29109799390059e-05
30,0.5,"MM",0.544503199989617,-0.000617694545053782
30,0.5,"MM",0.439665409690494,-0.000861916453407829
30,0.5,"MM",0.519984890725522,2.09972172049433e-05
30,0.5,"MM",0.423787834363844,-0.000454606842819616
30,0.5,"MM",0.4328784767769,-2.27697278972205e-05
30,0.5,"MM",0.526965918888493,0.000382100800107477
30,0.5,"MM",0.516209646410058,0.000755963073339028
30,0.5,"MM",0.491038863841333,0.000103812524813229
30,0.5,"MM",0.511592141008153,0.000919189845088431
30,0.5,"MM",0.560397990836258,-4.86352067529117e-05
30,0.5,"MM",0.458242542563066,-1.85423182257893e-05
30,0.5,"MM",0.504642662863998,2.21790759267204e-05
30,0.5,"MM",0.534400234139083,-0.000438541290519567
30,0.5,"MM",0.558676512898343,0.000625249571190589
30,0.5,"MM",0.498840322584434,-0.000816948410175045
30,0.5,"MM",0.496298243782127,-9.23275040662364e-05
30,0.5,"MM",0.508039031354723,-1.90465235021531e-05
30,0.5,"MM",0.557980496605332,0.00025856445398742
30,0.5,"MM",0.477225507255945,-0.000231000681288118
30,0.5,"MM",0.509318389601078,4.48876288606792e-05
30,0.5,"MM",0.522948773518467,-0.000342339706011829
30,0.5,"MM",0.542574772651329,0.000106645811063566
30,0.5,"MM",0.54023713756282,0.00038934811566449
30,0.5,"MM",0.530255700441121,7.54908978733981e-05
30,0.5,"MM",0.597042760275108,4.53240174886904e-05
30,0.5,"MM",0.463048371469521,-0.000108432609011277
30,0.5,"MM",0.500900940378617,0.000265508456536279
30,0.5,"MM",0.568532030166499,-0.000853665657655545
30,0.5,"MM",0.5520055044477,-0.00066392328028253
30,0.5,"MM",0.498769039550473,-0.000703305096817097
30,0.5,"MM",0.513016642429552,-0.000942658165852372
30,0.5,"MM",0.496343908616335,-0.000142684924317515
30,0.5,"MM",0.482698446394821,0.000142986371081621
30,0.5,"MM",0.454423641109988,-0.000118784417687479
30,0.5,"MM",0.520232455439682,-0.000559590174047719
30,0.5,"MM",0.500015582325128,0.00048616361827708
30,0.5,"MM",0.523651781433553,-0.000426674875022459
30,0.5,"MM",0.561751726584896,-0.000290824662951605
30,0.5,"MM",0.43294711608475,-0.000840669177185283
30,0.5,"MM",0.544305700495189,-0.00037402496065464
30,0.5,"MM",0.510348703511142,-7.73623258844003e-05
30,0.5,"MM",0.576344360835953,9.34779942526331e-05
30,0.5,"MM",0.537280730240142,0.0013398319496909
30,0.5,"MM",0.512532727613318,0.000252965700375141
30,0.5,"MM",0.479579171795897,-0.00049064452752734
30,0.5,"MM",0.442585622137584,-0.000256151759040091
30,0.5,"MM",0.533155224731664,0.000874571588242556
30,0.5,"MM",0.502106738574289,-0.000385938720684376
30,0.5,"MM",0.555853860038325,0.000653821568446733
30,0.5,"MM",0.475544828181272,-3.8810476129747e-05
30,0.5,"MM",0.572856224293754,-0.00129299118591086
30,0.5,"MM",0.504280555602853,-0.00144991373346326
30,0.5,"MM",0.474502268932882,0.000472286793311794
30,0.5,"MM",0.499238847357576,-0.000442865251928271
30,0.5,"MM",0.417813219489789,-0.000452091377325659
30,0.5,"MM",0.454768428568701,-0.000619587119109977
30,0.5,"MM",0.528892475077225,0.000841001297216204
30,0.5,"MM",0.57656740947167,-0.000517217026152372
30,0.5,"MM",0.495051644388133,-0.000824224297947151
30,0.5,"MM",0.494771705261571,-0.000730800128203257
30,0.5,"MM",0.430776725892115,0.000136559472112219
30,0.5,"MM",0.400305412231983,0.000515964501625277
30,0.5,"MM",0.497295198842266,0.00175260371360808
30,0.5,"MM",0.468000113204572,-0.000697522073714152
30,0.5,"MM",0.481203251547463,0.000865108142940885
30,0.5,"MM",0.500530116661637,-0.00109536918928022
30,0.5,"MM",0.392730607082697,-0.00105222159757751
30,0.5,"MM",0.485960998524216,-0.000584280720717811
30,0.5,"MM",0.522807560208392,-0.000207827763019752
30,0.5,"MM",0.503790004204751,0.00042381918457568
30,0.5,"MM",0.506124415195107,-0.000351235425193774
30,0.5,"MM",0.489838552303694,0.000233499463904274
30,0.5,"MM",0.473203404576833,-0.000113534098224899
30,0.5,"MM",0.497409364221083,-0.000104603867238484
30,0.5,"MM",0.517650519218349,0.000515464362218609
30,0.5,"MM",0.549038578794697,-0.000238245231868328
