"mean" "RB(%)" "MSE" "CR"
"50" 0.187 -6.468 0.008 0.902
"100" 0.191 -4.408 0.003 0.987
"150" 0.194 -2.972 0.002 0.998
"200" 0.196 -2.113 0.002 0.999
"250" 0.196 -2.039 0.001 1
"300" 0.197 -1.278 0.001 1
"350" 0.197 -1.394 0.001 1
"400" 0.198 -0.966 0.001 1
"450" 0.198 -0.945 0.001 1
"500" 0.198 -1.13 0.001 1
"550" 0.198 -0.823 0.001 1
"600" 0.199 -0.731 0.001 1
"650" 0.199 -0.483 0.001 1
"700" 0.198 -0.778 0 1
"750" 0.198 -0.756 0 1
"800" 0.199 -0.419 0 1
"850" 0.199 -0.557 0 1
"900" 0.199 -0.484 0 1
"950" 0.199 -0.694 0 1
"1000" 0.2 -0.24 0 1
