"mean" "RB(%)" "MSE" "CR"
"50" 1.386 -7.628 0.35 0.913
"100" 1.442 -3.892 0.181 0.987
"150" 1.458 -2.769 0.12 0.998
"200" 1.465 -2.334 0.089 1
"250" 1.478 -1.435 0.076 0.999
"300" 1.481 -1.257 0.061 1
"350" 1.488 -0.782 0.053 1
"400" 1.477 -1.566 0.046 1
"450" 1.491 -0.596 0.041 1
"500" 1.49 -0.674 0.037 1
"550" 1.486 -0.93 0.034 1
"600" 1.489 -0.751 0.031 1
"650" 1.495 -0.35 0.029 1
"700" 1.492 -0.517 0.026 1
"750" 1.491 -0.57 0.024 1
"800" 1.491 -0.595 0.023 1
"850" 1.491 -0.57 0.022 1
"900" 1.491 -0.594 0.021 1
"950" 1.493 -0.499 0.02 1
"1000" 1.495 -0.352 0.019 1
