"n","mu_true","method","media_mu","viés_mu"
30,1,"MM",0.969433249924611,-0.00109516974461232
30,1,"MM",1.14771864722519,-0.00220841535385663
30,1,"MM",0.976698651421785,0.0027200646684481
30,1,"MM",1.09160138333581,0.00366244616822775
30,1,"MM",0.998876055195446,-0.00338586749744152
30,1,"MM",0.982882756619326,-0.00357554372488733
30,1,"MM",0.975860696740114,-0.000219155080398048
30,1,"MM",0.95461042210087,0.00128692876587588
30,1,"MM",0.923811753936635,-0.000556102953141902
30,1,"MM",0.947510648507556,-0.00179822735305457
30,1,"MM",0.888236178806801,0.00118933918759623
30,1,"MM",1.06995086556357,-0.000787628105599403
30,1,"MM",1.09913334556927,-0.00180325611189081
30,1,"MM",0.998972005607425,0.00356884242711519
30,1,"MM",1.20323996523313,-0.000905626887592215
30,1,"MM",0.987998136385884,-8.86398716618553e-05
30,1,"MM",1.01977430834984,-0.00328969247341537
30,1,"MM",0.960917008895788,-0.00186590568650402
30,1,"MM",1.00758233881588,0.00328674023415942
30,1,"MM",0.937920301415471,0.00206862775768235
30,1,"MM",1.03974720700391,0.000493689847095524
30,1,"MM",0.949403236065537,0.00120996178473343
30,1,"MM",0.932476745201923,-0.000511535629296511
30,1,"MM",1.07814027499352,0.000703114106871627
30,1,"MM",0.952888853740579,0.00339874895780201
30,1,"MM",1.12016439552759,0.00262541561884277
30,1,"MM",0.941730293674557,0.000755133316624579
30,1,"MM",1.1990997618498,0.00610752509487678
30,1,"MM",0.826028201087323,-0.00055382462284681
30,1,"MM",0.917851762927624,-0.000574305383195917
30,1,"MM",1.04057882630445,-0.00244994689269218
30,1,"MM",1.05902494023753,-4.05430979584231e-05
30,1,"MM",0.963243836886448,0.00254347717169212
30,1,"MM",0.996362489032126,0.00128763703698997
30,1,"MM",0.939071887075447,-0.00156527363020142
30,1,"MM",1.04381168511863,0.00162328379964038
30,1,"MM",0.816692370216153,0.00289458238817031
30,1,"MM",1.06284133314148,0.00312097581576287
30,1,"MM",1.13605104236826,-0.00359318491460758
30,1,"MM",0.888454079469679,-0.00418624236843701
30,1,"MM",1.08781827089573,0.00101111553790068
30,1,"MM",0.919227967413601,-0.000172492892142606
30,1,"MM",1.04404486246875,-0.000269905831296713
30,1,"MM",1.07000213293019,0.000477148263019034
30,1,"MM",0.998639792170225,0.000345995453838843
30,1,"MM",0.94661775968947,-4.02092305785695e-05
30,1,"MM",1.06044563410712,0.00159291068773348
30,1,"MM",1.07896771623446,8.17787537297221e-05
30,1,"MM",1.08069544245074,-0.000186479162677333
30,1,"MM",0.928167160428358,0.00124618523568676
30,1,"MM",1.06372567957228,0.00102363249708226
30,1,"MM",0.984228904418029,0.00167678552591255
30,1,"MM",0.936289879090134,-0.000361131344165266
30,1,"MM",0.961365795654777,0.00131705612330213
30,1,"MM",1.01194860220316,-0.00343745466408563
30,1,"MM",0.960462918384357,-0.00100669635899053
30,1,"MM",1.01617291118255,-6.18585410105954e-05
30,1,"MM",0.968951724816105,0.000556208424390747
30,1,"MM",1.06298412983799,0.00424057388571963
30,1,"MM",1.01008146343725,0.0020032688506586
30,1,"MM",0.899578248090534,-0.00620252440657154
