"n","mu_true","method","media_mu","viés_mu"
30,1,"MM",0.971068319574312,0.000539899905088959
30,1,"MM",1.05104923441851,-0.000132091345012686
30,1,"MM",0.923548537603925,-0.000788712078124365
30,1,"MM",1.00793487659139,0.00211354144482656
30,1,"MM",0.923002431466229,-0.000703212083754234
30,1,"MM",0.974805277829538,0.000479615901995745
30,1,"MM",1.13233403804976,-0.000901788516849411
30,1,"MM",0.97298174819706,0.000165079059582074
30,1,"MM",1.04795047079346,0.00146567411356968
30,1,"MM",0.951192577017948,-0.000642499764341276
30,1,"MM",1.05507825870034,0.000220007252058396
30,1,"MM",1.06187292446809,0.00109040047263509
30,1,"MM",0.994229175347976,0.000251979779351874
30,1,"MM",1.01018397707091,0.000536193303447341
30,1,"MM",0.961885475176745,-0.000162904077297799
30,1,"MM",0.907427151385567,-0.00185862572502538
30,1,"MM",0.920076264159385,0.000861776846928786
30,1,"MM",0.913878390830847,-3.76106502011364e-05
30,1,"MM",0.983098283654297,-0.00189736362035919
30,1,"MM",1.07503127023306,0.000110137702785229
30,1,"MM",0.966999353628412,-0.00257795801298721
30,1,"MM",0.983670386811085,-1.66763821175531e-05
30,1,"MM",1.06093230419847,-4.73564931269266e-05
30,1,"MM",0.977215418329907,-0.000894014638613161
30,1,"MM",0.946229103186595,-0.000647540878688346
30,1,"MM",0.987565240457254,-2.724719845415e-05
30,1,"MM",1.12548191403287,-0.00118522195453297
30,1,"MM",1.05133342721674,-0.000263752109841198
30,1,"MM",1.05325614678752,0.000598408748929469
30,1,"MM",1.08202190426005,-0.00143453339946187
30,1,"MM",1.06763169492046,-0.000281385097343323
30,1,"MM",1.06867963324093,-4.40021008238922e-05
30,1,"MM",1.11059992186861,0.00109266217419046
30,1,"MM",0.887665561538634,-0.000483421336344825
30,1,"MM",0.972058477413635,-0.00187836597658941
30,1,"MM",1.05632820701763,-0.00112739531149142
30,1,"MM",0.94715337394388,0.000198323942084744
30,1,"MM",1.08425686320481,-0.000618930704333831
30,1,"MM",0.958905303955859,-0.000130865840979322
30,1,"MM",0.965368267766074,0.00205717552954487
30,1,"MM",1.10616419083622,0.000747240826372897
30,1,"MM",1.07957857226828,-0.00102333988890613
30,1,"MM",0.922991514872618,0.000191504408569632
30,1,"MM",0.926884751622341,0.000212430066656721
30,1,"MM",1.01116144861943,0.000863527843489198
30,1,"MM",1.01124573331794,-0.00202405544954676
30,1,"MM",0.890129054727522,-0.000185446876808215
30,1,"MM",1.04886036153713,0.000913451570381918
30,1,"MM",1.00804425014542,-0.000718486395580253
30,1,"MM",0.975174520729625,-0.00127770833556573
30,1,"MM",1.06076355644179,-0.000695542598630805
30,1,"MM",0.969214313204265,-0.000148063647332775
30,1,"MM",1.14049048769023,-4.58219598784559e-05
30,1,"MM",1.08900639997923,-0.00123538909010801
30,1,"MM",0.879330819380987,-0.00172383290681577
30,1,"MM",1.03996978145104,4.19944344094425e-05
30,1,"MM",0.847575668727688,-0.000909213685639454
30,1,"MM",0.8657569535538,-4.55394557946631e-05
30,1,"MM",1.05393183777699,0.000764201600214509
30,1,"MM",1.03241929282012,0.00151192614667783
30,1,"MM",0.982077727682666,0.000207625049626015
30,1,"MM",1.02318428201631,0.00183837969017642
30,1,"MM",1.12079598167252,-9.72704135062674e-05
